iter	Logloss
0	0.6199666499
1	0.5559423338
2	0.5006185217
3	0.4549597647
4	0.4162107765
5	0.381583146
6	0.3467294248
7	0.3225445831
8	0.2983148792
9	0.2810335266
10	0.2631688509
11	0.2488339364
12	0.236961247
13	0.2265458033
14	0.2166739615
15	0.2074566525
16	0.1993037709
17	0.1915819213
18	0.1844147978
19	0.1783991093
20	0.1734962705
21	0.169177634
22	0.1649942396
23	0.1605724541
24	0.1577940617
25	0.1554669241
26	0.1534311538
27	0.1519898349
28	0.149475851
29	0.1473037037
30	0.1448450648
31	0.1429142
32	0.1411353273
33	0.1395070729
34	0.1380208127
35	0.1360681476
36	0.1343243498
37	0.132473745
38	0.1305102962
39	0.1297134158
40	0.1275254165
41	0.1257604094
42	0.1248180569
43	0.1230749681
44	0.121836526
45	0.1202735902
46	0.1187910515
47	0.1178824798
48	0.1173286652
49	0.1165265542
50	0.1159379034
51	0.115830833
52	0.1148174512
53	0.1137299334
54	0.1126455927
55	0.111071378
56	0.1105574638
57	0.1102879808
58	0.1089829159
59	0.1082070662
60	0.1075548258
61	0.106393615
62	0.1050360388
63	0.1038092492
64	0.1032024214
65	0.1027760818
66	0.1024938269
67	0.1014449104
68	0.1010848995
69	0.1005040276
70	0.09953919884
71	0.09907008826
72	0.09834108287
73	0.0970871232
74	0.09682406321
75	0.09621741423
