iter	Passed	Remaining
0	99	19889
1	101	10092
2	104	6853
3	107	5251
4	109	4254
5	110	3584
6	112	3106
7	114	2749
8	118	2505
9	119	2268
10	121	2086
11	123	1933
12	124	1795
13	126	1686
14	128	1590
15	131	1516
16	134	1444
17	136	1376
18	138	1321
19	140	1265
20	142	1215
21	144	1170
22	147	1133
23	149	1096
24	151	1061
25	153	1030
26	156	1002
27	158	972
28	160	945
29	162	920
30	164	899
31	168	883
32	170	862
33	172	842
34	175	825
35	177	807
36	179	790
37	181	773
38	184	761
39	186	746
40	188	732
41	191	718
42	193	705
43	195	693
44	197	680
45	199	668
46	202	658
47	205	651
48	208	641
49	210	632
50	213	623
51	214	611
52	217	603
53	219	593
54	222	586
55	225	578
56	227	569
57	229	561
58	232	555
59	234	547
60	236	539
61	238	531
62	241	525
63	243	517
64	245	510
65	248	504
66	251	499
67	254	493
68	256	486
69	258	480
70	261	474
71	264	469
72	266	463
73	269	458
74	271	452
75	274	447
